sku,family,name,width_mm,depth_mm,height_mm,list_price_inr,labour_minutes,lead_time_days,compatible_finish_ids
NW-DES-001,desk,Northwind Desk 01,1200,600,740,18500,24,13,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-002,desk,Northwind Desk 02,1400,600,760,19160,27,16,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-003,desk,Northwind Desk 03,1600,600,780,19820,30,19,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-004,desk,Northwind Desk 04,1800,600,740,20480,33,7,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-005,desk,Northwind Desk 05,1200,700,760,21140,24,10,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-006,desk,Northwind Desk 06,1400,700,780,21800,27,13,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-007,desk,Northwind Desk 07,1600,700,740,22460,30,16,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-008,desk,Northwind Desk 08,1800,700,760,23120,33,19,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-009,desk,Northwind Desk 09,1200,750,780,23780,24,7,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-010,desk,Northwind Desk 10,1400,750,740,24440,27,10,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-011,desk,Northwind Desk 11,1600,750,760,25100,30,13,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-012,desk,Northwind Desk 12,1800,750,780,25760,33,16,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-013,desk,Northwind Desk 13,1200,600,740,26420,24,19,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-014,desk,Northwind Desk 14,1400,600,760,27080,27,7,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-015,desk,Northwind Desk 15,1600,600,780,27740,30,10,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-016,desk,Northwind Desk 16,1800,600,740,28400,33,13,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-017,desk,Northwind Desk 17,1200,700,760,29060,24,16,F01|F02|F03|F04|F05|F09|F10|F11|F17
